dates;ARW;BBY;CTL;DD;F;GT;IP;IPG;MRO;NCR;OLN;OI;AN;RAD;R;TDS;TEN;WDC;WHR;WMB;XRX;VIAC;FCX;X;WRK;SIRI;ABC;DISH;PAG;CNX
2000-01-03;0.00581367782196567;3.745730573253174e-07;3.30546259655367e-05;0.00047970652698403756;0.0006051843792386402;0.008413976727010103;4.408058186203674e-05;7.546265903350903e-08;0.02522352572346732;0.002235891927836157;0.006534309588373529;0.046754317813827724;0.0081809492325746;0.20277393424477413;0.01779966894874494;3.092785620955733e-09;0.3695192803389135;0.11691645881922891;0.0002396016068271882;0.019656580923929384;0.029647319397762436;0.0009759618400186756;0.08707596259632105;0.07089670329630277;0.06046459708172929;0.07549104295455009;0.01471046680810874;1.2881599452270634e-06;0.07111110442225389;0.35780193917822056
2000-01-04;0.006526282966963496;3.846239788771014e-07;4.810460289907592e-05;0.0005908519506461284;0.0009726948300588122;0.00825242174238929;6.024024942645161e-05;3.050319324141662e-07;0.029464691143197018;0.0026513226431707235;0.006677547221830379;0.05387888664231369;0.010329638855464916;0.21849682434733686;0.02323452393601474;1.2529837860235621e-08;0.3471504412826533;0.0925763531657145;0.0003461679920899865;0.02166982517401659;0.03702754982215359;0.0014051699427528022;0.0974545085573506;0.07879151352381658;0.0576368484531645;0.08534615761643438;0.018780699821276718;2.0831425593906058e-06;0.07210659250377316;0.3650826225910326
2000-01-05;0.006683816808142072;4.995454163967075e-07;4.536755222873323e-05;0.00047065266593840886;0.0009809850950151676;0.010108521775904815;4.079791092829891e-05;4.4272972255625357e-07;0.02684872080630768;0.0028345956467499874;0.005094465289249058;0.052446064609276;0.01081145571536729;0.2270720450354352;0.021782615521664547;1.9878929147922912e-08;0.36219184570012086;0.09956221754357802;0.0003079243846263143;0.01716412577994702;0.03443925413904335;0.00183832649408082;0.09134540755177334;0.0772393689123012;0.058427705263927016;0.07852510523452938;0.014850034479987267;2.186559173483383e-06;0.070709302628086;0.36225406617804484
2000-01-06;0.00744791157094309;4.226090344341987e-07;5.0008404716948004e-05;0.00038080241835830814;0.0009245223698302608;0.009585807350530226;3.1684708500843026e-05;4.216122803169797e-07;0.017805500337592456;0.003244865039164591;0.004280142905473087;0.042871839646448015;0.010724348850170352;0.2377089516189202;0.015125577223071094;1.1060172003498784e-07;0.3609778180808726;0.0926024063705565;0.00028299047733541886;0.015617469266064126;0.03261940002760569;0.0018716168043789235;0.096388392109229;0.0756792381493569;0.05979579637694908;0.07447097695053796;0.011380232243359604;7.645798099739522e-06;0.06908347009805349;0.34812739644363533
2000-01-07;0.006431227291008096;3.2661328098967586e-07;5.395535135447234e-05;0.0003214392634563845;0.000384555209331825;0.007710624243243582;2.2900569179087662e-05;2.3956464694912226e-07;0.01578913121402739;0.003052413587747396;0.0044417171408884645;0.0465350665735799;0.00892182996200338;0.22975845845594262;0.013727977811709249;3.3022504399190704e-08;0.3488141859173731;0.06287140272062457;0.00027485963522749964;0.013940388297621542;0.029322836001631068;0.0013384259160335377;0.09634915881284367;0.07074889925394559;0.06197512940544918;0.07649776328417719;0.007067029406136877;4.925229349289551e-06;0.06139571603409679;0.3389024003517105
2000-01-10;0.004961456616865936;3.673683384649659e-07;4.191506867619422e-05;0.00039209234173543815;0.0004987129960111828;0.007251080542639931;2.365564854780517e-05;1.4564209435824589e-07;0.01970039097481697;0.0028528877936069234;0.005156053347441358;0.04716600144503861;0.00929297960322196;0.23808221178236932;0.017106784947472673;8.87835805294067e-09;0.3544983111474297;0.07885806562344727;0.0002473116322693374;0.015156346510615383;0.03271110017215208;0.0007833749253687408;0.09984592403285547;0.07240049665052947;0.06440414212174178;0.07137211144456801;0.006366387387713517;3.2482679906144432e-06;0.05410439325959179;0.33755997438952534
2000-01-11;0.004978752666866447;5.113226264233084e-07;4.474993502919279e-05;0.00042383897632504734;0.0007101306968128994;0.007492591855354789;4.2372942583252e-05;1.5836050470989559e-07;0.018784297676040618;0.002917862632668243;0.005642357874869274;0.052349807764583284;0.011192579898951475;0.24252024027447672;0.0156660600830953;1.682923958725176e-08;0.3567183871204449;0.07207706473968088;0.00017793676306791686;0.015946324493039177;0.034381533391845236;0.0008006040105865051;0.09883790948769305;0.07559099540040183;0.06392713705180783;0.0766032329479549;0.0055769730538339285;6.189785452065061e-06;0.05510216899741073;0.3415267855601714
2000-01-12;0.004848679477366317;6.733410020098114e-07;4.1529748164648075e-05;0.0003659201576051778;0.0005095052832616323;0.0066571391283341535;5.2010134151932284e-05;1.6868127598420214e-07;0.01957883588450889;0.0035752276166368386;0.005734648587251707;0.061239398885959494;0.010823073498457085;0.3543998798837672;0.01750300338991152;3.8569214676630844e-08;0.35886919395879363;0.0928362676807526;0.00024934498035842094;0.016904500681492778;0.034877112761577164;0.0010050232651922899;0.10180152690916244;0.08217688401783052;0.06460345516412554;0.07706054182184924;0.004382836883883335;5.451127438501135e-06;0.05448017898980695;0.3364666963288584
2000-01-13;0.005359582225503278;6.729329866306828e-07;4.094807308367546e-05;0.0003604111824273992;0.0005810320983037832;0.007098704074019077;5.183314694191357e-05;1.49164741460465e-07;0.01935601790122209;0.0041078935631666215;0.005898412194586179;0.05999176410499023;0.01079574009413288;0.3426680027692481;0.01825779730288251;2.3412756389930212e-08;0.37085684438778194;0.1018956572005073;0.0002602762706428789;0.015321405563696565;0.030962712395728644;0.0008457345528992267;0.10287488866738442;0.07369368191390192;0.05999458123964773;0.07871796730029995;0.0019182209757565066;3.0418923594245502e-06;0.05201480169946718;0.3206124235376835
2000-01-14;0.004169013447265337;6.260526678493652e-07;3.792406151329149e-05;0.0003408705360405527;0.0007815636720126128;0.0081178616547303;4.1763448035414446e-05;1.0815460161244033e-07;0.01934321751461865;0.0044035444496184;0.004940139362734567;0.06211971601639923;0.010783856346953476;0.34529238976611704;0.018221883133227226;2.5665463798211613e-08;0.37431517102246165;0.09493379924585849;0.00026968713339734255;0.01201654276168468;0.03395850757563483;0.0008748433979968081;0.10703457278392936;0.07751182255287647;0.06274868330635808;0.07295741608330646;0.0027117613520407603;2.5426651157749445e-06;0.054260704407126575;0.32218498423258446
